regla_id,columna_afectada,codigo_error,tratamiento_propuesto,estado,evidencia_acuerdo,validacion_requerida
ID_NORMALIZAR,camion_id,FORMATO_INVALIDO,Quitar espacios exteriores y pasar a mayúsculas solo si resulta CAM-##,PENDIENTE,,Aprobar equivalencia; revisar colisiones después de normalizar
DUPLICADO_IDENTICO,camion_id,DUPLICADO_IDENTICO,Conservar la primera fila y excluir copias con los cuatro campos iguales,PENDIENTE,,Aprobar criterio de canonicidad y comprobar igualdad exacta
COLISION_ID_NORMALIZADO,camion_id,COLISION_ID_NORMALIZADO,Excluir copia con ID equivalente solo si los otros tres campos coinciden,PENDIENTE,,Requiere ID_NORMALIZAR aprobada y comparación completa de atributos
ID_EN_CONFLICTO,camion_id,ID_EN_CONFLICTO,Mantener todas las filas en cuarentena hasta verificar la fuente,PENDIENTE,,Determinar registro autoritativo; no elegir automáticamente
CENTRO_FALTANTE,centro_distribucion_base,FALTANTE,Mantener en cuarentena hasta recuperar el centro,PENDIENTE,,Centro confirmado por fuente autorizada
CAPACIDAD_FALTANTE,capacidad_kg,FALTANTE,Mantener en cuarentena sin imputar capacidad,PENDIENTE,,Capacidad confirmada por ficha de flota
CAPACIDAD_NO_NUMERICA,capacidad_kg,NO_NUMERICA,Mantener en cuarentena hasta recuperar valor numérico,PENDIENTE,,Capacidad confirmada por ficha de flota
CAPACIDAD_NO_POSITIVA,capacidad_kg,NO_POSITIVA,Mantener en cuarentena hasta verificar capacidad positiva,PENDIENTE,,Capacidad confirmada por ficha de flota
TIPO_FALTANTE,tipo_camion,FALTANTE,Mantener en cuarentena hasta recuperar tipo,PENDIENTE,,Tipo confirmado por fuente autorizada
TIPO_NO_RECONOCIDO,tipo_camion,TIPO_NO_RECONOCIDO,Mantener en cuarentena hasta validar categoría,PENDIENTE,,Categoría confirmada por fuente autorizada
