regla_id,columna_afectada,codigo_error_o_unidad,tratamiento_propuesto,estado,evidencia_acuerdo,validacion_requerida
DUPLICADO_IDENTICO,order_id,DUPLICADO,Conservar la primera fila como canónica y excluir las copias exactamente iguales,APROBADA,Criterio conservador de duplicados acordado previamente con el usuario,Mismo order_id y las 14 columnas originales idénticas
NORMALIZAR_ORDER_ID,order_id,FORMATO_INVALIDO,Quitar espacios externos y convertir a mayúsculas,PENDIENTE,,El resultado debe cumplir ORD-2026-##### y no crear una colisión
NORMALIZAR_CLIENTE_ID,cliente_id,FORMATO_INVALIDO,Quitar espacios externos y convertir a mayúsculas,PENDIENTE,,El resultado debe cumplir CLI-### y no alterar el identificador interno
NORMALIZAR_PRODUCTO_ID,producto_id,FORMATO_INVALIDO,Quitar espacios externos y convertir a mayúsculas,PENDIENTE,,El resultado debe cumplir PROD-### y no alterar el identificador interno
FECHA_DMY_A_ISO,fecha_despacho,FECHA_INVALIDA,Convertir DD/MM/AAAA HH:MM a AAAA-MM-DD HH:MM:SS,PENDIENTE,,La fecha debe ser válida y la conversión inequívoca
FECHA_CALENDARIO_INVALIDA,fecha_despacho,FECHA_INVALIDA,Mantener en cuarentena sin inventar una fecha,PENDIENTE,,Fecha real recuperada de una fuente autorizada
CANTIDAD_TEXTO_A_NUMERO,cantidad_solicitada,NO_NUMERICA,Convertir palabras mediante un diccionario aprobado; por ejemplo cincuenta a 50,PENDIENTE,,Correspondencia textual aprobada y cantidad positiva
CANTIDAD_ENTREGADA_FALTANTE,cantidad_entregada,FALTANTE,Mantener en cuarentena sin imputación automática,PENDIENTE,,Cantidad real recuperada de una fuente autorizada
TIEMPO_REAL_NEGATIVO,tiempo_entrega_real_hrs,NEGATIVO,Mantener en cuarentena sin cambiar signo ni imputar,PENDIENTE,,Tiempo real recuperado o regla de corrección aprobada
DUPLICADO_FECHA_EQUIVALENTE,order_id,DUPLICADO,Comparar fechas equivalentes y elegir una fila canónica solo después de aprobar la normalización,PENDIENTE,,Las 14 columnas deben ser equivalentes después de una regla de fecha aprobada
DUPLICADO_CONFLICTIVO,order_id,DUPLICADO,Mantener todas las filas en cuarentena,PENDIENTE,,Fuente autoritativa que permita seleccionar la fila correcta
INCONSISTENCIA_ON_TIME,tiempo_entrega_real_hrs+tiempo_entrega_prometido_hrs+otif_on_time,INCONSISTENCIA_ON_TIME,Recalcular el flag únicamente después de validar ambos tiempos,PENDIENTE,,Tiempos válidos y regla de recálculo aprobada
INCONSISTENCIA_IN_FULL,cantidad_entregada+cantidad_solicitada+otif_in_full,INCONSISTENCIA_IN_FULL,Recalcular el flag únicamente después de validar ambas cantidades,PENDIENTE,,Cantidades válidas y regla de recálculo aprobada
INCONSISTENCIA_OTIF,otif_on_time+otif_in_full+otif,INCONSISTENCIA_OTIF,Recalcular OTIF como conjunción de sus dos componentes validados,PENDIENTE,,Flags componentes válidos y regla de recálculo aprobada
