regla_id,columna_afectada,codigo_error_o_unidad,tratamiento_propuesto,estado,evidencia_acuerdo,validacion_requerida
DUPLICADO_IDENTICO,movimiento_id,DUPLICADO_IDENTICO,Elegir primera fila canónica y excluir copia exacta posterior,APROBADA,Regla de copias idénticas aprobada en el catálogo IoT del proyecto; se aplica al mismo criterio sobre las doce columnas Bronze,Las doce columnas Bronze deben ser idénticas; una sola canónica por movimiento_id
DUPLICADO_EQUIVALENTE_FECHA,movimiento_id,CLAVE_EN_CONFLICTO,Elegir primera fila si la única diferencia desaparece tras normalizar fecha aprobada,PENDIENTE,,Requiere FECHA_DDMM_A_ISO aprobada; dos filas equivalentes en las doce columnas preparadas
DUPLICADO_CONFLICTIVO,movimiento_id,CLAVE_EN_CONFLICTO,Conservar ambas filas en cuarentena,PENDIENTE,,Fuente autoritativa para decidir si hay dos movimientos o un error de captura
FECHA_DDMM_A_ISO,fecha_ingreso|fecha_salida|fecha_vencimiento,FORMATO_FECHA_DISTINTO,Interpretar fecha válida DD/MM/YYYY y preparar YYYY-MM-DD,PENDIENTE,,Fecha válida en formato DD/MM/YYYY; revisar día y mes antes de aprobar
PRODUCTO_MAYUSCULAS,producto_id,FORMATO_INVALIDO,Preparar identificador en mayúsculas solo si existe el canónico en el lote,PENDIENTE,,Confirmar equivalencia de producto con catálogo maestro; la coincidencia del lote es solo control técnico
FECHA_VENCIMIENTO_FALTANTE,fecha_vencimiento,FALTANTE,Conservar en cuarentena sin imputación automática,PENDIENTE,,Vencimiento verificable en fuente del lote
FECHA_IMPOSIBLE,fecha_ingreso|fecha_salida|fecha_vencimiento,FECHA_INVALIDA,Conservar en cuarentena sin inventar fecha,PENDIENTE,,Fecha original recuperada de fuente autorizada
CANTIDAD_INGRESO_NO_NUMERICA,cantidad_ingreso,NO_NUMERICA,Conservar en cuarentena; no traducir 'cien' automáticamente,PENDIENTE,,Cantidad numérica confirmada en documento de ingreso
MERMA_NEGATIVA,cantidad_merma,NEGATIVA,Conservar en cuarentena; no cambiar signo automáticamente,PENDIENTE,,Merma real confirmada por registro operativo
COHERENCIA_TEMPORAL,fecha_salida|fecha_vencimiento|dias_en_almacen,ANTERIOR_INGRESO|NO_COINCIDE_FECHAS,Conservar en cuarentena hasta aclarar secuencia y días,PENDIENTE,,Fechas y duración reconciliadas con fuente autorizada
EXCESO_CANTIDADES,cantidad_salida+cantidad_merma,SUPERA_INGRESO,Conservar en cuarentena; no equilibrar cifras automáticamente,PENDIENTE,,Ingreso salida y merma conciliados; el remanente positivo es válido
OTROS_PROBLEMAS,identificadores|centro_distribucion|cantidades|costo_unitario_bob,FALTANTE|FORMATO_INVALIDO|VALOR_NO_RECONOCIDO|NO_ENTERA|NEGATIVA|NO_POSITIVA|NO_POSITIVO,Conservar en cuarentena y revisar contra fuente operativa,PENDIENTE,,Valor original verificado y regla específica aprobada antes de liberar
