regla_id,columna_afectada,codigo_error_o_unidad,tratamiento_propuesto,estado,evidencia_acuerdo,validacion_requerida
DUPLICADO_IDENTICO,chofer_id,DUPLICADO,Conservar la primera fila como canónica y excluir las copias exactamente iguales,APROBADA,Criterio conservador de duplicados acordado previamente con el usuario,Mismo chofer_id y las seis columnas originales idénticas
NORMALIZAR_CHOFER_ID,chofer_id,FORMATO_INVALIDO,Quitar espacios externos y convertir a mayúsculas,PENDIENTE,,El resultado debe cumplir CHO-### y no crear una colisión
DUPLICADO_NOMBRE_CONFLICTIVO,chofer_id,DUPLICADO,Mantener ambas filas en cuarentena cuando el nombre sea distinto,PENDIENTE,,Fuente autorizada que confirme el nombre correcto
CHOFER_ID_FALTANTE,chofer_id,FALTANTE,Mantener en cuarentena sin inventar un identificador,PENDIENTE,,Identificador recuperado de una fuente autorizada
NOMBRE_FALTANTE,chofer_nombre,FALTANTE,Mantener en cuarentena sin imputar un nombre,PENDIENTE,,Nombre recuperado de una fuente autorizada
NOMBRE_FORMATO_INVALIDO,chofer_nombre,FORMATO_INVALIDO,Mantener en cuarentena hasta validar el nombre,PENDIENTE,,Nombre completo confirmado por una fuente autorizada
CENTRO_FALTANTE,centro_distribucion,FALTANTE,Mantener en cuarentena sin imputación automática,PENDIENTE,,Centro confirmado por una fuente autorizada
CENTRO_NO_RECONOCIDO,centro_distribucion,VALOR_NO_RECONOCIDO,Mantener en cuarentena hasta validar el centro,PENDIENTE,,Centro incluido en el dominio operativo aprobado
HORAS_FALTANTES,horas_conduccion_mes,FALTANTE,Mantener en cuarentena sin imputación automática,PENDIENTE,,Horas recuperadas de una fuente autorizada
HORAS_NO_NUMERICAS,horas_conduccion_mes,NO_NUMERICO,Mantener en cuarentena hasta recuperar el valor numérico,PENDIENTE,,Valor numérico verificable
HORAS_NEGATIVAS,horas_conduccion_mes,NEGATIVO,Mantener en cuarentena sin cambiar el signo,PENDIENTE,,Horas reales recuperadas o regla de corrección aprobada
SALARIO_FALTANTE,salario_base_bob,FALTANTE,Mantener en cuarentena sin imputación automática,PENDIENTE,,Salario recuperado de una fuente autorizada
SALARIO_NO_NUMERICO,salario_base_bob,NO_NUMERICO,Mantener en cuarentena hasta recuperar el valor numérico,PENDIENTE,,Valor numérico verificable
SALARIO_NO_POSITIVO,salario_base_bob,NO_POSITIVO,Mantener en cuarentena sin cambiar el valor,PENDIENTE,,Salario válido confirmado por una fuente autorizada
AUSENTISMO_FALTANTE,ausentismo_dias,FALTANTE,Mantener en cuarentena sin imputación automática,PENDIENTE,,Días recuperados de una fuente autorizada
AUSENTISMO_NO_NUMERICO,ausentismo_dias,NO_NUMERICO,Mantener en cuarentena hasta recuperar el valor numérico,PENDIENTE,,Valor numérico verificable
AUSENTISMO_NEGATIVO,ausentismo_dias,NEGATIVO,Mantener en cuarentena sin cambiar el signo,PENDIENTE,,Cantidad válida confirmada por una fuente autorizada
AUSENTISMO_NO_ENTERO,ausentismo_dias,NO_ENTERO,Mantener en cuarentena hasta validar la cantidad,PENDIENTE,,Número entero de días confirmado
