fila_bronze,clave_lectura,tipo_duplicado,decision_duplicado,fila_canonica,justificacion_duplicado,camion_id_preparado
34,VIA-00002|2026-08-10 21:47:00,IDENTICO,CANONICA,34,Las diez columnas originales son idénticas,CAM-23
28833,VIA-00002|2026-08-10 21:47:00,IDENTICO,COPIA_EXCLUIDA,34,Las diez columnas originales son idénticas,CAM-23
648,VIA-00027|2026-08-22 20:28:00,IDENTICO,CANONICA,648,Las diez columnas originales son idénticas,CAM-07
28827,VIA-00027|2026-08-22 20:28:00,IDENTICO,COPIA_EXCLUIDA,648,Las diez columnas originales son idénticas,CAM-07
868,VIA-00037|2026-08-25 17:52:00,IDENTICO,CANONICA,868,Las diez columnas originales son idénticas,CAM-08
28911,VIA-00037|2026-08-25 17:52:00,IDENTICO,COPIA_EXCLUIDA,868,Las diez columnas originales son idénticas,CAM-08
960,VIA-00040|2026-08-08 15:48:00,IDENTICO,CANONICA,960,Las diez columnas originales son idénticas,CAM-08
28909,VIA-00040|2026-08-08 15:48:00,IDENTICO,COPIA_EXCLUIDA,960,Las diez columnas originales son idénticas,CAM-08
1110,VIA-00047|2026-08-19 08:18:00,IDENTICO,CANONICA,1110,Las diez columnas originales son idénticas,CAM-16
28819,VIA-00047|2026-08-19 08:18:00,IDENTICO,COPIA_EXCLUIDA,1110,Las diez columnas originales son idénticas,CAM-16
1221,VIA-00051|2026-08-22 09:41:00,IDENTICO,CANONICA,1221,Las diez columnas originales son idénticas,CAM-19
28828,VIA-00051|2026-08-22 09:41:00,IDENTICO,COPIA_EXCLUIDA,1221,Las diez columnas originales son idénticas,CAM-19
1263,VIA-00053|2026-08-26 09:10:00,IDENTICO,CANONICA,1263,Las diez columnas originales son idénticas,CAM-03
28818,VIA-00053|2026-08-26 09:10:00,IDENTICO,COPIA_EXCLUIDA,1263,Las diez columnas originales son idénticas,CAM-03
1631,VIA-00068|2026-08-14 13:08:00,IDENTICO,CANONICA,1631,Las diez columnas originales son idénticas,CAM-05
28894,VIA-00068|2026-08-14 13:08:00,IDENTICO,COPIA_EXCLUIDA,1631,Las diez columnas originales son idénticas,CAM-05
1735,VIA-00073|2026-08-14 23:38:00,IDENTICO,CANONICA,1735,Las diez columnas originales son idénticas,CAM-23
28849,VIA-00073|2026-08-14 23:38:00,IDENTICO,COPIA_EXCLUIDA,1735,Las diez columnas originales son idénticas,CAM-23
1876,VIA-00079|2026-08-14 14:45:00,IDENTICO,CANONICA,1876,Las diez columnas originales son idénticas,CAM-07
28905,VIA-00079|2026-08-14 14:45:00,IDENTICO,COPIA_EXCLUIDA,1876,Las diez columnas originales son idénticas,CAM-07
2182,VIA-00091|2026-08-17 04:53:00,MAYUSCULAS,CANONICA,2182,Solo cambia la escritura de camion_id; el código normalizado existe en flota,CAM-12
28844,VIA-00091|2026-08-17 04:53:00,MAYUSCULAS,COPIA_EXCLUIDA,2182,Solo cambia la escritura de camion_id; el código normalizado existe en flota,CAM-12
2420,VIA-00101|2026-08-07 16:40:00,IDENTICO,CANONICA,2420,Las diez columnas originales son idénticas,CAM-12
28910,VIA-00101|2026-08-07 16:40:00,IDENTICO,COPIA_EXCLUIDA,2420,Las diez columnas originales son idénticas,CAM-12
2898,VIA-00121|2026-08-06 04:54:00,IDENTICO,CANONICA,2898,Las diez columnas originales son idénticas,CAM-12
28895,VIA-00121|2026-08-06 04:54:00,IDENTICO,COPIA_EXCLUIDA,2898,Las diez columnas originales son idénticas,CAM-12
2913,VIA-00122|2026-08-15 04:11:00,IDENTICO,CANONICA,2913,Las diez columnas originales son idénticas,CAM-16
28821,VIA-00122|2026-08-15 04:11:00,IDENTICO,COPIA_EXCLUIDA,2913,Las diez columnas originales son idénticas,CAM-16
2948,VIA-00123|2026-08-18 16:09:00,IDENTICO,CANONICA,2948,Las diez columnas originales son idénticas,CAM-05
28899,VIA-00123|2026-08-18 16:09:00,IDENTICO,COPIA_EXCLUIDA,2948,Las diez columnas originales son idénticas,CAM-05
2959,VIA-00124|2026-08-26 22:50:00,COMPLEMENTARIO,CANONICA,2959,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-12
28912,VIA-00124|2026-08-26 22:50:00,COMPLEMENTARIO,COPIA_EXCLUIDA,2959,Una lectura tiene más campos completos y todos los valores no vacíos coinciden,CAM-12
3235,VIA-00135|2026-08-15 12:17:00,IDENTICO,CANONICA,3235,Las diez columnas originales son idénticas,CAM-08
28838,VIA-00135|2026-08-15 12:17:00,IDENTICO,COPIA_EXCLUIDA,3235,Las diez columnas originales son idénticas,CAM-08
3914,VIA-00164|2026-08-09 04:13:00,IDENTICO,CANONICA,3914,Las diez columnas originales son idénticas,CAM-19
28888,VIA-00164|2026-08-09 04:13:00,IDENTICO,COPIA_EXCLUIDA,3914,Las diez columnas originales son idénticas,CAM-19
4403,VIA-00184|2026-08-11 16:43:00,IDENTICO,CANONICA,4403,Las diez columnas originales son idénticas,CAM-05
28802,VIA-00184|2026-08-11 16:43:00,IDENTICO,COPIA_EXCLUIDA,4403,Las diez columnas originales son idénticas,CAM-05
4439,VIA-00185|2026-08-02 08:54:00,IDENTICO,CANONICA,4439,Las diez columnas originales son idénticas,CAM-07
28871,VIA-00185|2026-08-02 08:54:00,IDENTICO,COPIA_EXCLUIDA,4439,Las diez columnas originales son idénticas,CAM-07
4492,VIA-00188|2026-08-17 10:21:00,IDENTICO,CANONICA,4492,Las diez columnas originales son idénticas,CAM-05
28873,VIA-00188|2026-08-17 10:21:00,IDENTICO,COPIA_EXCLUIDA,4492,Las diez columnas originales son idénticas,CAM-05
4543,VIA-00190|2026-08-07 02:40:00,IDENTICO,CANONICA,4543,Las diez columnas originales son idénticas,CAM-05
28892,VIA-00190|2026-08-07 02:40:00,IDENTICO,COPIA_EXCLUIDA,4543,Las diez columnas originales son idénticas,CAM-05
4634,VIA-00194|2026-08-30 01:29:00,IDENTICO,CANONICA,4634,Las diez columnas originales son idénticas,CAM-08
28804,VIA-00194|2026-08-30 01:29:00,IDENTICO,COPIA_EXCLUIDA,4634,Las diez columnas originales son idénticas,CAM-08
4720,VIA-00197|2026-08-13 21:56:00,IDENTICO,CANONICA,4720,Las diez columnas originales son idénticas,CAM-30
28815,VIA-00197|2026-08-13 21:56:00,IDENTICO,COPIA_EXCLUIDA,4720,Las diez columnas originales son idénticas,CAM-30
5009,VIA-00209|2026-08-17 07:32:00,IDENTICO,CANONICA,5009,Las diez columnas originales son idénticas,CAM-09
28913,VIA-00209|2026-08-17 07:32:00,IDENTICO,COPIA_EXCLUIDA,5009,Las diez columnas originales son idénticas,CAM-09
5185,VIA-00217|2026-08-02 06:45:00,IDENTICO,CANONICA,5185,Las diez columnas originales son idénticas,CAM-08
28826,VIA-00217|2026-08-02 06:45:00,IDENTICO,COPIA_EXCLUIDA,5185,Las diez columnas originales son idénticas,CAM-08
5659,VIA-00236|2026-08-25 12:44:00,IDENTICO,CANONICA,5659,Las diez columnas originales son idénticas,CAM-03
28801,VIA-00236|2026-08-25 12:44:00,IDENTICO,COPIA_EXCLUIDA,5659,Las diez columnas originales son idénticas,CAM-03
5786,VIA-00242|2026-08-15 07:46:00,IDENTICO,CANONICA,5786,Las diez columnas originales son idénticas,CAM-16
28807,VIA-00242|2026-08-15 07:46:00,IDENTICO,COPIA_EXCLUIDA,5786,Las diez columnas originales son idénticas,CAM-16
6187,VIA-00258|2026-08-20 16:38:00,IDENTICO,CANONICA,6187,Las diez columnas originales son idénticas,CAM-08
28853,VIA-00258|2026-08-20 16:38:00,IDENTICO,COPIA_EXCLUIDA,6187,Las diez columnas originales son idénticas,CAM-08
6194,VIA-00259|2026-08-22 15:20:00,IDENTICO,CANONICA,6194,Las diez columnas originales son idénticas,CAM-03
28806,VIA-00259|2026-08-22 15:20:00,IDENTICO,COPIA_EXCLUIDA,6194,Las diez columnas originales son idénticas,CAM-03
6218,VIA-00260|2026-08-22 01:23:00,IDENTICO,CANONICA,6218,Las diez columnas originales son idénticas,CAM-06
28919,VIA-00260|2026-08-22 01:23:00,IDENTICO,COPIA_EXCLUIDA,6218,Las diez columnas originales son idénticas,CAM-06
6220,VIA-00260|2026-08-22 02:23:00,IDENTICO,CANONICA,6220,Las diez columnas originales son idénticas,CAM-06
28857,VIA-00260|2026-08-22 02:23:00,IDENTICO,COPIA_EXCLUIDA,6220,Las diez columnas originales son idénticas,CAM-06
6360,VIA-00265|2026-08-21 22:16:00,IDENTICO,CANONICA,6360,Las diez columnas originales son idénticas,CAM-03
28902,VIA-00265|2026-08-21 22:16:00,IDENTICO,COPIA_EXCLUIDA,6360,Las diez columnas originales son idénticas,CAM-03
6409,VIA-00268|2026-08-15 12:20:00,IDENTICO,CANONICA,6409,Las diez columnas originales son idénticas,CAM-26
28896,VIA-00268|2026-08-15 12:20:00,IDENTICO,COPIA_EXCLUIDA,6409,Las diez columnas originales son idénticas,CAM-26
7121,VIA-00297|2026-08-21 02:28:00,IDENTICO,CANONICA,7121,Las diez columnas originales son idénticas,CAM-24
28908,VIA-00297|2026-08-21 02:28:00,IDENTICO,COPIA_EXCLUIDA,7121,Las diez columnas originales son idénticas,CAM-24
7189,VIA-00300|2026-08-12 03:01:00,IDENTICO,CANONICA,7189,Las diez columnas originales son idénticas,CAM-23
28883,VIA-00300|2026-08-12 03:01:00,IDENTICO,COPIA_EXCLUIDA,7189,Las diez columnas originales son idénticas,CAM-23
7311,VIA-00305|2026-08-12 15:54:00,IDENTICO,CANONICA,7311,Las diez columnas originales son idénticas,CAM-23
28820,VIA-00305|2026-08-12 15:54:00,IDENTICO,COPIA_EXCLUIDA,7311,Las diez columnas originales son idénticas,CAM-23
7339,VIA-00306|2026-08-26 18:19:00,IDENTICO,CANONICA,7339,Las diez columnas originales son idénticas,CAM-07
28836,VIA-00306|2026-08-26 18:19:00,IDENTICO,COPIA_EXCLUIDA,7339,Las diez columnas originales son idénticas,CAM-07
7362,VIA-00307|2026-08-10 12:55:00,IDENTICO,CANONICA,7362,Las diez columnas originales son idénticas,CAM-06
28877,VIA-00307|2026-08-10 12:55:00,IDENTICO,COPIA_EXCLUIDA,7362,Las diez columnas originales son idénticas,CAM-06
7854,VIA-00328|2026-08-10 06:18:00,IDENTICO,CANONICA,7854,Las diez columnas originales son idénticas,CAM-20
28890,VIA-00328|2026-08-10 06:18:00,IDENTICO,COPIA_EXCLUIDA,7854,Las diez columnas originales son idénticas,CAM-20
8617,VIA-00360|2026-08-09 09:12:00,IDENTICO,CANONICA,8617,Las diez columnas originales son idénticas,CAM-09
28898,VIA-00360|2026-08-09 09:12:00,IDENTICO,COPIA_EXCLUIDA,8617,Las diez columnas originales son idénticas,CAM-09
8700,VIA-00363|2026-08-13 10:55:00,IDENTICO,CANONICA,8700,Las diez columnas originales son idénticas,CAM-09
28811,VIA-00363|2026-08-13 10:55:00,IDENTICO,COPIA_EXCLUIDA,8700,Las diez columnas originales son idénticas,CAM-09
8900,VIA-00371|2026-08-31 03:35:00,IDENTICO,CANONICA,8900,Las diez columnas originales son idénticas,CAM-05
28875,VIA-00371|2026-08-31 03:35:00,IDENTICO,COPIA_EXCLUIDA,8900,Las diez columnas originales son idénticas,CAM-05
8975,VIA-00374|2026-08-12 01:55:00,IDENTICO,CANONICA,8975,Las diez columnas originales son idénticas,CAM-28
28863,VIA-00374|2026-08-12 01:55:00,IDENTICO,COPIA_EXCLUIDA,8975,Las diez columnas originales son idénticas,CAM-28
9078,VIA-00379|2026-08-30 02:11:00,IDENTICO,CANONICA,9078,Las diez columnas originales son idénticas,CAM-09
28852,VIA-00379|2026-08-30 02:11:00,IDENTICO,COPIA_EXCLUIDA,9078,Las diez columnas originales son idénticas,CAM-09
9087,VIA-00379|2026-08-30 06:41:00,IDENTICO,CANONICA,9087,Las diez columnas originales son idénticas,CAM-09
28832,VIA-00379|2026-08-30 06:41:00,IDENTICO,COPIA_EXCLUIDA,9087,Las diez columnas originales son idénticas,CAM-09
9110,VIA-00380|2026-08-29 16:39:00,IDENTICO,CANONICA,9110,Las diez columnas originales son idénticas,CAM-28
28824,VIA-00380|2026-08-29 16:39:00,IDENTICO,COPIA_EXCLUIDA,9110,Las diez columnas originales son idénticas,CAM-28
9813,VIA-00409|2026-08-31 08:07:00,IDENTICO,CANONICA,9813,Las diez columnas originales son idénticas,CAM-24
28897,VIA-00409|2026-08-31 08:07:00,IDENTICO,COPIA_EXCLUIDA,9813,Las diez columnas originales son idénticas,CAM-24
