fila_bronze,rule_id,dimension_calidad,severidad,accion,tipo_problema,columna_afectada,codigo_error,valor_original,detalle,version_catalogo,version_diagnostico
8,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
121,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
125,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
146,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-19 ,Formato esperado CAM-00,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
213,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
229,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
238,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
386,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
425,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
448,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
459,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
469,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
477,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
505,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
530,IOT-R021,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,FUERA_RANGO,-45.2,Humedad fuera de 0 a 100%,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
533,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
560,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
598,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
643,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
757,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
839,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
901,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1079,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1101,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1137,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1169,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1205,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
1208,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 indica ausencia o error de lectura,1.0.0,GIAD-M3-S4-IOT-diagnostico-v5
