_fila_bronze,errores_bloqueantes,calidad_motivo,calidad_estado,clave_lectura_bronze,clave_lectura_normalizada,timestamp_original,viaje_id_original,order_id_original,camion_id_original,producto_id_original,temperatura_cabina_c_original,temp_unit_original,humedad_cabina_pct_original,desviacion_termica_flag_original,desviacion_proximos_60min_flag_original,timestamp_utc_normalizado,temperatura_c_normalizada,lectura_clave_duplicada,ocurrencias_clave_lectura,corresponde_wms_silver,corresponde_producto_silver,corresponde_flota_silver,motivos_transformacion,motivos_imputacion,banderas_informativas,conteo_transformaciones,conteo_errores_bloqueantes,conteo_banderas_informativas
35,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00002 | 2026-08-13 04:00:00,VIA-00002 | 2026-08-13 08:00:00+00:00,2026-08-13 04:00:00,VIA-00002,ORD-2026-04815,CAM-12,PROD-029,19.63,C,59.6,0,0,2026-08-13 08:00:00+00:00,19.63,True,2,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
230,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00010 | 2026-08-13 11:22:00,VIA-00010 | 2026-08-13 15:22:00+00:00,2026-08-13 11:22:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,-999.0,C,55.4,0,0,2026-08-13 15:22:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
239,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00010 | 2026-08-13 15:52:00,VIA-00010 | 2026-08-13 19:52:00+00:00,2026-08-13 15:52:00,VIA-00010,ORD-2026-02783,CAM-14,PROD-059,,C,51.9,0,0,2026-08-13 19:52:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
426,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00018 | 2026-08-19 02:41:00,VIA-00018 | 2026-08-19 06:41:00+00:00,2026-08-19 02:41:00,VIA-00018,ORD-2026-03390,CAM-08,PROD-052,-999.0,C,91.5,0,0,2026-08-19 06:41:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
460,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00020 | 2026-08-25 21:24:00,VIA-00020 | 2026-08-26 01:24:00+00:00,2026-08-25 21:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,51.6,1,0,2026-08-26 01:24:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
470,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00020 | 2026-08-26 02:24:00,VIA-00020 | 2026-08-26 06:24:00+00:00,2026-08-26 02:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,-999.0,C,50.1,0,0,2026-08-26 06:24:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
478,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00020 | 2026-08-26 06:24:00,VIA-00020 | 2026-08-26 10:24:00+00:00,2026-08-26 06:24:00,VIA-00020,ORD-2026-01231,CAM-20,PROD-039,,C,49.0,0,0,2026-08-26 10:24:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
531,IOT-RNG-001,Humedad fuera del rango intrinseco 0-100 grados de porcentaje,cuarentena,VIA-00023 | 2026-08-14 16:48:00,VIA-00023 | 2026-08-14 20:48:00+00:00,2026-08-14 16:48:00,VIA-00023,ORD-2026-01360,CAM-12,PROD-012,20.54,C,-45.2,0,0,2026-08-14 20:48:00+00:00,20.54,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
644,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00027 | 2026-08-30 08:27:00,VIA-00027 | 2026-08-30 12:27:00+00:00,2026-08-30 08:27:00,VIA-00027,ORD-2026-05466,CAM-20,PROD-026,-999.0,C,90.3,0,0,2026-08-30 12:27:00+00:00,,False,1,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
649,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00027 | 2026-08-30 10:57:00,VIA-00027 | 2026-08-30 14:57:00+00:00,2026-08-30 10:57:00,VIA-00027,ORD-2026-05466,CAM-20,PROD-026,3.31,C,78.1,0,0,2026-08-30 14:57:00+00:00,3.31,True,2,no,no,si,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-002,1,1,2
758,IOT-NUL-001,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,cuarentena,VIA-00032 | 2026-08-28 02:29:00,VIA-00032 | 2026-08-28 06:29:00+00:00,2026-08-28 02:29:00,VIA-00032,ORD-2026-01878,CAM-24,PROD-058,,C,69.4,0,0,2026-08-28 06:29:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
869,IOT-CLA-001,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",cuarentena,VIA-00037 | 2026-08-01 01:56:00,VIA-00037 | 2026-08-01 05:56:00+00:00,2026-08-01 01:56:00,VIA-00037,ORD-2026-01721,CAM-01,PROD-001,3.53,C,72.0,0,0,2026-08-01 05:56:00+00:00,3.53,True,2,no,si,no,fecha_local_bolivia_convertida_utc,,IOT-REF-001 | IOT-REF-003,1,1,2
902,IOT-SEN-001,Centinela -999 declarado en config: no es una medicion de temperatura,cuarentena,VIA-00038 | 2026-08-30 03:44:00,VIA-00038 | 2026-08-30 07:44:00+00:00,2026-08-30 03:44:00,VIA-00038,ORD-2026-05727,CAM-29,PROD-005,-999.0,C,48.7,0,0,2026-08-30 07:44:00+00:00,,False,1,si,si,si,fecha_local_bolivia_convertida_utc,,,1,1,0
