dataset,etapa,regla_id,columna_evaluada,dimension_calidad,descripcion_regla,tipo_resultado,severidad,filas_evaluadas,filas_afectadas,porcentaje_afectado,accion_aplicada,filas_silver,filas_cuarentena,estado_regla,evidencia
andinalog_iot_telemetry,bronze_silver,IOT-CNV-001,temperatura_cabina_c;humedad_cabina_pct;desviacion_termica_flag;desviacion_proximos_60min_flag,exactitud,"Campo numerico no parseable o indicador fuera del dominio binario {0,1} en el valor recibido",conteo,alta,28920,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 28920 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. 
andinalog_iot_telemetry,bronze_silver,IOT-UNI-001,temp_unit,exactitud,Unidad de temperatura Fahrenheit convertida a Celsius con la formula exacta (F-32)*5/9,conteo,informativa,28920,50,0.001729,conversion_exacta_fahrenheit_a_celsius,49,1,aplicada_transformacion,"denominador 28920 filas; afectadas 50; porcentaje 0.001729; en Silver 49; en cuarentena 1. unidades observadas {'C': 28865, 'F': 50, 'K': 5}; Fahrenheit convertible de forma exacta; rango Fahrenheit recibido [-2.31, 74.41]; las lecturas Fahrenheit que tambien fallan otra regla aparecen en cuarentena."
andinalog_iot_telemetry,bronze_silver,IOT-UNI-002,temp_unit,validez,"Unidad Kelvin, no esperada operacionalmente en telemetria de cabina",conteo,critica,28920,5,0.000173,envio_a_cuarentena,0,5,envio_a_cuarentena,"denominador 28920 filas; afectadas 5; porcentaje 0.000173; en Silver 0; en cuarentena 5. unidades observadas {'C': 28865, 'F': 50, 'K': 5}; rango Kelvin recibido [254.28, 291.22]; Kelvin no es esperado operacionalmente."
andinalog_iot_telemetry,bronze_silver,IOT-UNI-003,temp_unit,validez,"Unidad de temperatura distinta de C, F o K, incluida la unidad vacia",conteo,alta,28920,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,"denominador 28920 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. unidades observadas {'C': 28865, 'F': 50, 'K': 5}; no hay unidades fuera de C, F o K."
andinalog_iot_telemetry,bronze_silver,IOT-SEN-001,temperatura_cabina_c,exactitud,Centinela -999 declarado en config: no es una medicion de temperatura,conteo,alta,28920,120,0.004149,envio_a_cuarentena,0,120,envio_a_cuarentena,denominador 28920 filas; afectadas 120; porcentaje 0.004149; en Silver 0; en cuarentena 120. centinelas declarados en config [-999]; no son mediciones.
andinalog_iot_telemetry,bronze_silver,IOT-SEN-002,humedad_cabina_pct,exactitud,Centinela -999 declarado en config: no es una medicion de humedad,conteo,alta,28920,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 28920 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. centinelas declarados en config [-999]; ninguno observado en esta fuente.
andinalog_iot_telemetry,bronze_silver,IOT-NUL-001,temperatura_cabina_c,completitud,Temperatura ausente en el valor recibido; no existe regla de imputacion inequivoca,conteo,alta,28920,80,0.002766,envio_a_cuarentena,0,80,envio_a_cuarentena,denominador 28920 filas; afectadas 80; porcentaje 0.002766; en Silver 0; en cuarentena 80. temperaturas vacias en el valor recibido; no se imputo ninguna por falta de regla inequivoca.
andinalog_iot_telemetry,bronze_silver,IOT-NUL-002,humedad_cabina_pct,completitud,"Humedad ausente en el valor recibido; se conserva nula y se reporta, sin imputar",conteo,informativa,28920,100,0.003458,sin_imputar_por_ausencia_de_regla_inequivoca,98,2,informativa_sin_cuarentena,"denominador 28920 filas; afectadas 100; porcentaje 0.003458; en Silver 98; en cuarentena 2. humedades vacias en el valor recibido; se conservan nulas en Silver con bandera informativa; no se uso media, mediana, moda, ffill ni bfill."
andinalog_iot_telemetry,bronze_silver,IOT-RNG-001,humedad_cabina_pct,validez,Humedad fuera del rango intrinseco 0-100 grados de porcentaje,conteo,alta,28920,15,0.000519,envio_a_cuarentena,0,15,envio_a_cuarentena,"denominador 28920 filas; afectadas 15; porcentaje 0.000519; en Silver 0; en cuarentena 15. valores fuera de rango ['-37.4', '-38.8', '-39.8', '-45.2', '-50.5', '-50.9', '-52.1', '-52.3', '-55.9', '-72.7', '-76.6', '-81.2', '-83.3', '-87.9', '-92.6']; ninguno supera 100."
andinalog_iot_telemetry,bronze_silver,IOT-FMT-001,viaje_id;order_id;camion_id;producto_id,validez,Identificador que no cumple el patron declarado en config,conteo,alta,28920,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 28920 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. los cuatro identificadores cumplen los patrones declarados en config en todas las filas.
andinalog_iot_telemetry,bronze_silver,IOT-IDN-001,viaje_id;order_id;camion_id;producto_id,consistencia,Identificador normalizado con strip y upper; correccion determinista de representacion,conteo,informativa,28920,50,0.001729,normalizacion_determinista_strip_upper,50,0,aplicada_transformacion,"denominador 28920 filas; afectadas 50; porcentaje 0.001729; en Silver 50; en cuarentena 0. espacios en el valor recibido por identificador {'viaje_id': 0, 'order_id': 0, 'camion_id': 50, 'producto_id': 0}; normalizacion determinista y reversible."
andinalog_iot_telemetry,bronze_silver,IOT-FEC-001,timestamp,validez,Timestamp que no cumple el formato textual declarado en config,conteo,alta,28920,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 28920 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. formato declarado %Y-%m-%d %H:%M:%S; 28920 filas lo cumplen.
andinalog_iot_telemetry,bronze_silver,IOT-FEC-002,timestamp,validez,Fecha imposible o instante inexistente en America/La_Paz; no se puede fijar el instante,conteo,alta,28920,15,0.000519,envio_a_cuarentena,0,15,envio_a_cuarentena,denominador 28920 filas; afectadas 15; porcentaje 0.000519; en Silver 0; en cuarentena 15. valores imposibles ['2026-02-31 09:15:00']; el instante no es determinable sin una regla de correccion.
andinalog_iot_telemetry,bronze_silver,IOT-CLA-001,viaje_id;timestamp,unicidad,"Clave de lectura viaje_id mas timestamp duplicada, sin criterio de desempate en config",conteo,alta,28920,240,0.008299,envio_a_cuarentena_de_todas_las_ocurrencias,0,240,envio_a_cuarentena,"denominador 28920 filas; afectadas 240; porcentaje 0.008299; en Silver 0; en cuarentena 240. 120 claves duplicadas en 240 filas; 230 de esas filas son duplicado exacto de su clave y no se cuentan como un problema adicional; 5 claves tienen ocurrencias con valores diferentes entre si, en 10 filas; motivo clave_lectura_duplicada_sin_criterio_de_desempate."
andinalog_iot_telemetry,bronze_silver,IOT-SEQ-001,timestamp,consistencia,"Serie fuera de orden cronologico dentro del viaje, evaluada despues de normalizar y ordenar por viaje_id y timestamp",conteo,media,28905,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 28905 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. evaluada sobre la serie normalizada y ordenada por viaje_id y timestamp; 0 inversiones cronologicas; las 113 inversiones del orden fisico del CSV de Bronze se documentan como caracteristica del archivo de entrada y no como error de las lecturas; _fila_bronze conserva la posicion fisica.
andinalog_iot_telemetry,bronze_silver,IOT-SEQ-002,timestamp,consistencia,"Intervalo entre lecturas consecutivas del mismo viaje mayor que la cadencia observada; hueco informativo, no bloqueante",conteo,informativa,28905,13,0.00045,informativa_hueco_de_cadencia,13,0,informativa_sin_cuarentena,"denominador 28905 filas; afectadas 13; porcentaje 0.00045; en Silver 13; en cuarentena 0. cadencia observada 30 minutos; intervalos de la serie ordenada {0.0: 120, 30.0: 27572, 60.0: 13}; los intervalos de 0 minutos corresponden a claves duplicadas y los mayores son huecos informativos."
andinalog_iot_telemetry,bronze_silver,IOT-REF-001,order_id,integridad_referencial,"order_id sin correspondencia en WMS Silver: falta informativa de enriquecimiento, no error intrinseco del sensor",conteo,informativa,28920,4942,0.170885,informativa_sin_enriquecimiento,4866,76,informativa_sin_cuarentena,"denominador 28920 filas; afectadas 4942; porcentaje 0.170885; en Silver 4866; en cuarentena 76. 205 order_id distintos sin correspondencia en WMS Silver; falta informativa, no error intrinseco."
andinalog_iot_telemetry,bronze_silver,IOT-REF-002,producto_id,integridad_referencial,producto_id sin correspondencia en Productos Silver: falta informativa de enriquecimiento,conteo,informativa,28920,3159,0.109232,informativa_sin_enriquecimiento,3109,50,informativa_sin_cuarentena,denominador 28920 filas; afectadas 3159; porcentaje 0.109232; en Silver 3109; en cuarentena 50. 6 producto_id distintos sin correspondencia en Productos Silver; falta informativa de enriquecimiento.
andinalog_iot_telemetry,bronze_silver,IOT-REF-003,camion_id,integridad_referencial,camion_id sin correspondencia en Flota Silver: falta informativa de enriquecimiento,conteo,informativa,28920,1637,0.056604,informativa_sin_enriquecimiento,1615,22,informativa_sin_cuarentena,denominador 28920 filas; afectadas 1637; porcentaje 0.056604; en Silver 1615; en cuarentena 22. 2 camion_id distintos sin correspondencia en Flota Silver; falta informativa de enriquecimiento.
andinalog_iot_telemetry,bronze_silver,IOT-REF-004,producto_id;camion_id,integridad_referencial,producto_id o camion_id que contradice la orden WMS existente: error referencial bloqueante,conteo,alta,23978,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 23978 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. denominador lecturas con orden WMS existente 23978; contradicciones detectadas 0.
andinalog_iot_telemetry,bronze_silver,IOT-OPE-001,desviacion_termica_flag,consistencia,desviacion_termica_flag incoherente con la temperatura medida frente a la temperatura de conservacion y tolerancia del producto; una desviacion operacional valida no es error,conteo,media,25576,0,0.0,sin_incidencias,0,0,evaluada_sin_incidencias,denominador 25576 filas; afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. denominador lecturas comparables 25576; desviaciones termicas operacionales observadas 951; una desviacion operacional valida no es error de calidad.
andinalog_iot_telemetry,bronze_silver,IOT-IMP-001,todas,completitud,"Ninguna variable fue imputada: no se uso media, mediana, moda, ffill, bfill ni informacion futura",conteo,informativa,0,0,0.0,no_imputada_por_config,0,0,no_aplicable,"denominador 0 filas (no aplicable: no hay ninguna fila que evaluar); afectadas 0; porcentaje 0.0; en Silver 0; en cuarentena 0. imputaciones deshabilitadas en config, por lo que la regla no es aplicable y no tiene denominador de evaluacion; metodos prohibidos ['media', 'mediana', 'moda', 'ffill', 'bfill', 'informacion_futura']; filas imputadas 0."
