fila_bronze,camion_id,centro_distribucion_base,capacidad_kg,tipo_camion,columnas_con_problemas,en_cuarentena
1,CAM-01,Cochabamba,5000,Refrigerado,,False
2,CAM-02,Cochabamba,5000,Refrigerado,,False
3,CAM-03,Oruro,12000,Seco,,False
4,CAM-04,La Paz,2000,Seco,,False
5,CAM-05,Cochabamba,8000,Seco,,False
6,CAM-06,Cochabamba,5000,Seco,,False
7,CAM-07,La Paz,12000,Seco,,False
8,CAM-08,Santa Cruz,5000,Refrigerado,,False
9,CAM-09,Santa Cruz,8000,Seco,,False
10,CAM-10,La Paz,12000,Refrigerado,,False
11,CAM-11,Cochabamba,2000,Refrigerado,,False
12,CAM-12,La Paz,8000,Seco,,False
13,CAM-13,Cochabamba,12000,Seco,,False
14,CAM-14,Cochabamba,8000,Seco,,False
15,CAM-15,La Paz,2000,Refrigerado,,False
16,CAM-16,Oruro,5000,Seco,,False
17,CAM-17,Cochabamba,8000,Seco,,False
18,CAM-18,Santa Cruz,2000,Seco,,False
19,CAM-19,Tarija,2000,Refrigerado,,False
20, cam-20 ,Oruro,12000,Refrigerado,camion_id,True
21,CAM-21,Tarija,12000,Seco,,False
22,CAM-22,Cochabamba,8000,Refrigerado,,False
23,CAM-23,Santa Cruz,5000,Seco,,False
24,CAM-24,Oruro,2000,Refrigerado,,False
25,CAM-25,Cochabamba,2000,Refrigerado,,False
26,CAM-26,Tarija,8000,Refrigerado,,False
27,CAM-27,Cochabamba,5000,Refrigerado,,False
28,CAM-28,La Paz,2000,Refrigerado,,False
29,CAM-29,Santa Cruz,5000,Seco,,False
30, cam-30 ,Cochabamba,8000,Seco,camion_id,True
31,CAM-01,Cochabamba,5000,Refrigerado,camion_id,True
32,CAM-27,Cochabamba,5000,Refrigerado,camion_id,True
